14685	-2.937
16902	-0.074
14686	-1.156
16903	-0.373
14687	0.371
16900	-0.246
14688	0.054
16901	-0.699
14689	0.752
16908	0.773
16909	0.79
16907	-3.419
16905	-0.148
14680	0.441
14682	1.654
14681	1.031
14683	-3.715
14676	0.17
16009	0.005
14677	-0.189
14674	0.844
14675	0.099
16005	-0.119
16006	0.689
14678	-0.376
16007	-0.213
14679	0.598
16008	-0.394
16002	-2.142
16001	-0.567
16004	-2.141
16003	-0.616
14673	0.827
14671	-2.614
16000	-1.205
16920	0.192
16921	0.543
16924	1.332
16925	-0.428
16922	0.608
16923	0.626
16928	1.909
16929	1.369
16926	0.343
16927	-1.454
16910	0.118
14698	0.241
16911	0.309
14699	-1.215
16912	-0.44
14696	0.372
16913	-0.089
14697	-0.144
16915	0.684
16916	0.235
16917	0.521
16918	-0.176
16919	0.116
14694	-1.245
14693	3.234
14692	-1.2
14691	0.812
14690	-0.501
14649	0.883
14641	-0.58
14644	-0.448
14643	0.347
14646	-1.3
14645	0.015
14648	-0.277
14647	0.673
14640	-0.934
14639	-0.408
14638	-1.566
14632	-0.419
14631	0.207
14630	0.183
14637	0.378
14636	-0.149
14635	-0.027
14634	0.417
14668	-0.319
14667	-2.522
14669	-0.123
14664	0.106
14663	1.806
14666	0.538
14665	-0.476
14660	-0.232
14661	0.238
14662	1.407
14659	0.203
14658	-0.546
14657	-1.511
14656	-2.006
14655	-2.367
14654	-1.79
14653	0.055
14652	0.666
14650	0.023
14651	0.645
18418	0.956
18419	-0.07
18416	-0.423
18417	1.4
18414	-0.722
18415	0.106
18413	0.35
18412	1.224
18411	-0.393
18422	1.351
18421	0.91
18424	0.785
18423	1.528
18420	-0.399
18403	-1.73
18404	-0.342
18405	1.726
18406	0.46
18407	-0.416
18408	-0.046
18409	-0.685
18400	0.346
18402	0.526
18401	-0.655
15819	-1.831
15818	0.393
15815	0.641
15816	1.217
15813	-0.29
15811	0.603
15812	0.995
15810	-1.662
15809	-0.973
15804	1.605
15805	-0.377
15806	-0.909
15807	0.48
15800	-0.839
15801	-0.487
15802	-0.045
15803	0.255
15837	1.038
15838	0.264
15831	0.831
15832	0.02
15830	-0.173
15835	0.327
15836	-0.387
15833	0.135
15834	-1.016
15826	0.852
15827	0.67
15828	0.451
15829	0.82
15820	0.797
15821	1.275
15822	0.755
15823	0.416
15824	-0.505
15825	-0.082
15722	-0.112
15721	-0.065
15720	-1.016
15726	-0.329
15725	0.755
15724	0.437
15723	0.25
17681	-0.049
17680	1.514
15729	1.496
17683	0.9
15728	0.089
17682	0.037
15727	0.067
17685	-1.64
17684	-1.788
17687	-0.643
